Anno;Cod_Azienda;Specie_Vegetale;PLT;PLV;PRA;PTA;Provincia;Regione;SAU;Biologica;SAU_Irrigata;KW_Macchine;avg_year;min_avg_year;max_avg_year;min_min_year;min_max_year;max_min_year;max_max_year;tot_prec_year;Tipo_Certificazione;max_irrigate;Produzione;Sum_Spesa_Distribuita;CAPITALE_FISSO;CAPITALE_CIRCOLANTE;PATRIMONIO_NETTO;CAPITALE_NETTO_TOTALE;LIQUIDITA_IMMEDIATE;UTILE_PERDITA_ESERCIZIO;Sum_Quantit�_azoto;Sum_Quantit�_fosforo;Sum_Quantit�_potassio;Sum_Valore_del_distribuito;lavoro_dipendente_ore_uomo;lavoro_dipendente_ore_macchina;lavoro_dipendente_ul;lavoro_famigliare_ore_uomo;lavoro_famigliare_ore_macchina
2019;2222008180535000001;Melo;223522;221522;0;2000;Cuneo;Piemonte;22,62;S;24,03;295;11,1357611;6,625719311;15,72590561;-11,60082724;21,18743393;-0,842664783;35,291021;1595,827216;Indicazione Geografica Protetta (IGP);1;7025;9398;682031;212754;894674;1342701;91279;67516;0;0;0;1195;8100;0;4,5;4400;0
2019;2222008180542000001;Melo;126724;126724;0;0;Cuneo;Piemonte;10,75;N;10,51;619;11,42714881;6,906639143;16,0206092;-11,69816758;21,43401607;-0,486927695;35,58798508;1580,755466;;1;3500;17069;613939;9082;449367;446256;0;3111;336,87;184,03;673,73;2239;1360;25;0,75;2880;0
2019;2222008180544000001;Melo;53300;53300;0;0;Cuneo;Piemonte;11,9;N;10,96;243;10,91573207;6,394413574;15,51549599;-11,70954005;21,03619855;-1,102095117;35,04976125;1592,217178;;1;2665;10020;258655;492308;750945;751538;492308;-593;295,22;54,49;979,27;3915;1944;18;1,08;2400;0
2019;2222008180545000001;Melo;69692;69692;0;0;Cuneo;Piemonte;8,23;N;8,43;207;9,753175817;5,242721835;14,36530989;-12,38215367;20,04602509;-1,916688012;33,74872537;1587,390168;Indicazione Geografica Protetta (IGP);1;2489;10149;195830;114558;310388;780803;114343;61674;22,15;22,15;22,15;546;80;0;0,04;4800;0
2019;2222008180565000001;Melo;47120;46998;0;122;Cuneo;Piemonte;7,92;N;7,34;277;11,56799728;7,102583778;16,07683184;-10,8565986;22,08703811;0,04826531;36,38320624;1537,683537;;1;1178;2690;123341;71207;194150;562243;71093;33214;832,9;0;0;1099;295;5;0,16;2700;0
2019;2222008180573000001;Melo;191250;191250;0;0;Cuneo;Piemonte;24,25;N;24,25;394;11,78576962;7,286723879;16,31000311;-10,79864957;22,30421994;0,203530152;36,71271365;1517,845431;;1;5100;79718;613213;21532;633941;615726;21454;18215;4945,97;0;0;15811;5002;2;2,78;9992;0
2019;2222008180577000001;Melo;99900;99900;0;0;Cuneo;Piemonte;26,6;N;26,6;257;12,21338771;7,732056243;16,728699;-10,92203585;22,64190064;0,520093147;37,42293181;1490,603494;;1;2220;5430;355904;276788;632692;1588909;276708;122814;430,6;430,6;610,02;1727;2500;0;1,39;9992;0
2019;2222008180589000001;Melo;31465;31465;0;0;Cuneo;Piemonte;16,37;N;15,94;213;10,97220927;6,132357787;15,67454714;-10,84888046;21,18751199;-0,505850254;35,56834582;1486,255343;;1;899;3762;182222;80542;262365;650063;80477;32950;2062,54;0;0;1992;5;5;0;8100;0
2019;2302008004954000001;Melo;16950;16950;0;0;Sondrio;Lombardia;2,5;N;0;131;4,454080465;-0,072477555;8,737796552;-23,15062991;15,17764608;-10,36048263;28,95322117;1733,335005;;0;845;1250;23619;39723;63342;292135;39201;7548;81,82;81,82;81,82;60;0;0;0;1656;0
2019;2302008004957000001;Melo;14567;14567;0;0;Sondrio;Lombardia;2,28;N;0;138;4,751101183;0,071724148;9,133670795;-24,20336606;15,8330466;-11,16690601;29,73726789;1658,489831;;0;580;520;12079;15768;27847;241569;14780;6243;60;60;60;60;0;0;0;2200;0
